newspaper,day,month,year,page,article,article title,ocr title,match (title/article text/manual)
Lloyd's Weekly Newspaper,11,12,1859,,,Yorkshire - Mr Frederick Douglass in Halifax,,
Lloyd's Weekly Newspaper,24,10,1886,,,An American Coloured Statesman in London,,
Lloyd's Weekly Newspaper,05,10,1851,,,A Negro Clergymen,,
Lloyd's Weekly Newspaper,26,12,1852,,,An Illustration of the Slavery System,,
Lloyd's Weekly Newspaper,20,01,1861,0002,008,The Canadian Extradition Case,THE CANADIAN EXTRADITION CASE.,title
Lloyd's Weekly Newspaper,03,03,1861,0002,010,Case of the Fugitive Anderson,CASE OF THE FUGITIVE ANDERSON.,title
The Bristol Mercury,20,04,1850,0006,023,American Slavery,AMERICAN SLAVERY.,title
The Bristol Mercury,30,11,1850,0004,011,Fugitive Slaves from the United States,FUGITIVE SLAVES FROM THE UNITED STATES.,title
The Bristol Mercury,12,04,1851,0006,020,American Slavery,AMERICAN SLAVERY.,title
The Bristol Mercury,12,04,1851,0008,033,Fugitive Slaves,FUGITIVE SLAVES.,title
The Bristol Mercury,12,04,1851,,,Antislavery Meeting,,
The Bristol Mercury,30,08,1851,0008,036,William and Ellen Craft,WILLIAM AND ELLEN CRAFT.,title
The Bristol Mercury,04,10,1851,,,The American Antislavery Society,,
The Bristol Mercury,14,07,1860,,,Running a Thousand Miles for Freedom,,
The Bristol Mercury,21,04,1855,,,Broadmead Rooms,,
The Bristol Mercury,14,04,1855,,,Panorama of American Slavery,,
The Bristol Mercury and Daily Post,10,04,1894,,,Lynch Law   ,,
The Bristol Mercury and Daily Post,10,04,1894,,,Race Animosity in the United States,,
The Bristol Mercury and Daily Post,11,04,1894,,,Lynch Law,,
The Bristol Mercury and Daily Post,12,04,1894,,,West Bristol Women's Liberal Association,,
The Bristol Mercury and Daily Post,19,04,1894,,,Lecture at Russell Town,,
The Bristol Mercury and Daily Post,09,06,1894,,,Old King Street Baptist Chapel,,
The Bristol Mercury and Daily Post,03,08,1895,,,Lynching in the United States,,
The Bristol Mercury and Daily Post,19,01,1861,,,The Fugitive Slave Case,,
The Bristol Mercury and Daily Post,05,11,1881,,,Uncle Tom,,
The Bristol Mercury,12,09,1846,,,Imposter,,
The Bristol Mercury,12,08,1854,0006,017,American Slavery,AMERICAN SLAVERY.,title
The Bristol Mercury and Western Counties Advertiser,03,04,1847,,,Antislavery Meeting,,
The Bristol Mercury,03,04,1847,0008,034,Meeting of the Bristol Auxilliary Antislavery League,ANTI-SLAVERY MEETING.,article
The Bristol Mercury,10,04,1847,,,Frederick Douglass,,
The Bristol Mercury,15,08,1846,0006,014,World Temperance Convention,THE WORLD's TEMPERANCE CONVENTION,title
The Bristol Mercury,22,08,1846,,,Antislavery Meeting,,
The Bristol Mercury,29,08,1846,0006,020,American Slavery,American Slabery.,title
The Bristol Mercury and Western Counties Advertiser,01,05,1847,,,Frederick Douglass,,
The Bristol Mercury,22,05,1847,,,Frederick Douglass,,
The Bristol Mercury,10,10,1846,,,American Slavery and the Evangelical Alliance,,
The Bristol Mercury,12,09,1846,,,,,
The Bristol Mercury,19,09,1846,,,Testimonial to Frederick Douglass,,
The Bristol Mercury,06,09,1851,,,Evangelical Alliance and American Slavery,,
The Bristol Mercury and Western Counties Advertiser,05,12,1846,,,Memoir of Frederick Douglass,,
The Bristol Mercury,27,03,1847,,,Frederick Douglass,,
The Bristol Mercury and Western Counties Advertiser,27,03,1847,,,Bristol Auxillary Antislavery League,,
The Bristol Mercury and Daily Post,15,09,1860,,,Condition of the Slaves of Canada,,
The Caledonian Mercury,05,02,1861,,,Running a Thousand Miles for Freedom,,
The Caledonian Mercury,12,02,1861,,,Running a Thousand Miles for Freedom,,
The Caledonian Mercury,15,02,1861,,,Running a Thousand Miles for Freedom,,
The Caledonian Mercury,19,02,1861,,,Running a Thousand Miles for Freedom,,
The Caledonian Mercury,22,02,1861,,,Running a Thousand Miles for Freedom,,
The Caledonian Mercury,21,09,1846,,,Antislavery Meeting,,
The Caledonian Mercury,28,09,1846,0004,024,American Slavery,AMERICAN SLAVERY.,title
The Caledonian Mercury,30,04,1846,,,American Slavery,,
The Caledonian Mercury,14,01,1847,,,Free Church Antislavery Meeting,,
The Caledonian Mercury,07,05,1846,0003,011,American Slavery and the Free Church,AMERICAN SLAVERY AND THE FREE CHURCH.,title
The Caledonian Mercury,11,05,1846,0003,011,American Slavery and the Free Church,AMERICAN SLAVERY & THE FREE CHURCH.,title
The Caledonian Mercury,24,05,1846,0002,008,"""Send Back the Money""","""SEND BACK THE MONEY""—ANNUL THE COVENANT WITH DEATH!",title
The Caledonian Mercury,11,06,1846,0003,012,Antislavery Soiree,ANTI-SLAVERY SOIREE.,title
The Caledonian Mercury,15,06,1846,0003,016,The Agitation Against the Free Church,THE AGITATION AGAINST THE FREE CHURCH.,title
The Caledonian Mercury,30,01,1860,,,American Slavery,,
The Caledonian Mercury,31,01,1860,0003,008,Frederick Douglass on American Street,FREDERICK DOUGLASS ON AMERICAN SLAVERY.,title
The Caledonian Mercury,17,10,1862,0004,020,Frederick Douglass on Slavery,FREDERICK DOUGLASS ON SLAVERY.,title
The Caledonian Mercury,01,12,1862,,,A Slave's Appeal to Great Britain,,
The Caledonian Mercury,18,09,1863,0004,013,Frederick Douglass on Slavery and the War,FREDERICK DOUGLASS ON SLAVERY AND THE WAR.,title
The Caledonian Mercury,22,01,1864,0003,013,The Prospects of the Negro in America,THE PROSPECTS OF THE NEGRO IN AMERICA.,title
The Caledonian Mercury,09,01,1865,0002,010,Frederick Douglass to the Negroes,FREDERICK DOUGLASS TO THE NEGROES.,title
The Caledonian Mercury,01,02,1865,0003,011,Frederick Douglass on the Future of the Negro,FREDERICK DOUGLASS ON THE FUTURE OF THE NEGRO.,title
The Caledonian Mercury,03,06,1865,0005,017,Frederick Douglass on the American Crisis,FREDERICK DOUGLASS NO THE AMERICAN CRISIS.,title
The Caledonian Mercury,24,02,1866,0007,024,President Johnson and the Negroes,PRESIDENT JOHNSON AND THE NEGROES.,title
The Caledonian Mercury,06,01,1851,,,Slavery in America,,
The Caledonian Mercury,23,01,1851,0003,010,African Slave Trade,AFRICAN SLAVE-TRADE.,title
The Caledonian Mercury,09,12,1862,,,The Confederate Envoy and A Fugitive Slave,,
The Caledonian Mercury,06,10,1860,0002,006,Lecture on American Slavery,LECTURE ON AMERICAN SLAVERY.,title
The Caledonian Mercury,26,12,1860,,,American Slavery,,
The Caledonian Mercury,12,05,1863,,,The Reverend Sella Martin,,
The Caledonian Mercury,05,06,1865,,,The Freedmen of America,,
The Caledonian Mercury,03,07,1866,0003,013,The Freedmen of America,THE FREEDMEN OF AMERICA.,title
The Caledonian Mercury,08,02,1847,0003,008,Free Church Antislavery Society,FREE CHURCH ANTI-SLAVERY SOCIETY.,title
Freeman's Journal and Daily Commercial Advertiser,06,02,1851,,,American Slavery,,
Freeman's Journal and Daily Commercial Advertiser,08,02,1851,,,American Slavery,,
The Belfast News-Letter,12,02,1851,0004,030,The Rev. Henry Highland Garnet,THE REV. HENRY HIGHLAND GARNET.,title
Freeman's Journal and Daily Commercial Advertiser,04,01,1861,,,The Extradition Case in Canada,,
Freeman's Journal and Daily Commercial Advertiser,17,08,1846,,,American Slavery - Joseph Carter,,
Freeman's Journal and Daily Commercial Advertiser,27,06,1840,,,British and Foreign Antislavery Society,,
Freeman's Journal and Daily Commercial Advertiser,25,10,1841,,,Present to Charles Lennox Remond ,,
Freeman's Journal  ,04,10,1845,,,American Slavery,,
Freeman's Journal  ,08,09,1845,0003,013,Slavery  ,SLAVERY.,title
Freeman's Journal,13,09,1845,0004,017,Antislavery Meeting,ANTI-SLAVERY MEETING.,title
Freeman's Journal,18,09,1845,0004,013,Antislavery Meeting,ANTI-SLAVERY MEETING.,title
Freeman's Journal,24,09,1845,0004,014,Antislavery Society,ANTI-SLAVERY SOCIETY.,title
Manchester Examiner,07,11,1846,,,Frederick Douglass,,
Manchester Examiner,14,11,1846,,,Correspondence,,
Manchester Examiner,14,11,1846,,,Antislavery League,,
Manchester Times,14,11,1846,,,Antislavery League,,
Manchester Times,14,11,1846,,,Antislavery League,,
Manchester Examiner,28,11,1846,,,Antislavery League,,
Manchester Examiner,17,10,1846,,,Antislavery League,,
Manchester Examiner,26,09,1846,,,American Slavery and the Evangelical Alliance,,
Manchester Times,05,12,1846,0006,025,Antislavery League,ANTI-SLAVERY LEAGUE.,title
Manchester Times,12,03,1847,,,Antislavery League,,
Manchester Times,19,03,1847,,,Progress of the Agitation,,
Manchester Times,29,05,1846,,,Antislavery Society,,
Manchester Times,17,01,1846,,,Evangelical Alliance,,
Manchester Weekly Times,20,05,1865,,,Frederick Douglass on the American Crisis,,
Manchester Times,07,08,1852,,,Anniversary of Negro Emancipation,,
Manchester Times,02,08,1854,,,Commemoration of West India Emancipation,,
Manchester Times,24,12,1850,,,Slavery in America,,
Manchester Times,23,10,1850,,,The Late Slavery Compromise in America,,
Manchester Times,06,11,1850,,,The American Fugitive Slave Law,,
Manchester Times,22,02,1862,0006,034,Dr Pennington on Slavery,DR. PENNINGTON ON SLAVERY.,title
Manchester Times,19,01,1861,0003,006,The Case of the Fugitive Slave Anderson,THE CASE OF THE FUGITIVE SLAVE ANDERSON.,title
Manchester Times,05,10,1853,,,Correspondence - A Story of Slave Life,,
Manchester Times,02,08,1854,0009,032,Antislavery Conference in Manchester,ANTI-SLAVERY CONFERENCE IN MANCHESTER.,title
Manchester Times,23,04,1847,,,Frederick Douglass,,
Manchester Times,07,08,1846,0005,018,World Temperance Convention,THE WORLD'S TEMPERANCE CONVENTION.,title
Manchester Times,15,08,1846,0006,023,World Temperance Convention,THE WORLD'S TEMPERANCE CONVENTION.,title
Manchester Times,06,11,1846,0005,015,British Organization in Connexion with the Evangelical Alliance,BRITISH ORGANIZATION IN CONNEXION WITH THE EVANGELICAL ALLIANCE.,title
Manchester Times,07,11,1846,,,Evangelical Alliance ,,
Manchester Times,07,11,1846,,,Antislavery League in Glasgow,,
Manchester Times,13,11,1846,,,Antislavery League,,
Manchester Times,20,11,1846,0007,026,Antislavery Meeting,STOCKPORT.,article
Manchester Times,09,10,1846,,,Antislavery League,,
Manchester Times,09,10,1846,,,Antislavery League,,
Manchester Times,16,10,1846,0002,007,Meeting,WEEKLY MEETING OF THE MANCHESTER BOARD OF GUARDIANS.,title
Manchester Times,16,10,1846,0002,007,Meeting,WEEKLY MEETING OF THE MANCHESTER BOARD OF GUARDIANS.,title
Manchester Times,04,09,1846,0003,010,The Evangelical Alliance,THE EVANGELICAL ALLIANCE.,title
Manchester Times,23,11,1850,,,Fugitive Slave Bill,,
Manchester Weekly Times,17,03,1866,,,Attack on Frederick Douglass in Baltimore,,
Liverpool Mercury,04,08,1854,0009,023,Antislavery Conference at Manchester,ANTI-SLAVERY CONFERENCE AT MANCHESTER.,title
Liverpool Mercury,17,12,1850,,,Fugitive Slaves,,
Liverpool Mercury,08,01,1870,0005,013,Incident of a Slave's Life,INCIDENT OF A SLAVE'S LIFE.,title
Liverpool Mercury,16,10,1849,0003,009,The Slave's Stratagem,THE SLAVE'S STRATAGEM.,title
Liverpool Mercury,05,11,1850,,,A Fugitive Slave in Liverpool,,
Liverpool Mercury,08,11,1850,,,New and Original Panorama or Mirror of American Slavery,,
Liverpool Mercury,12,11,1850,0006,024,Scenes in the Life of a Fugitive Slave,SCENES IN THE LIFE OF A FUGITIVE SLAVE.,title
Liverpool Mercury,15,11,1850,0003,008,Advert,Advertisements & Notices,title
Liverpool Mercury,15,11,1850,,,Mr Henry Box Brown and Smith's Mirror of Slavery,,
Liverpool Mercury,22,11,1850,,,New and Original Panorama or Mirror of American Slavery,,
Liverpool Mercury,26,11,1850,,,Last Week of the New and Original Panorama or Mirror of American Slavery,,
Liverpool Mercury,04,05,1893,,,Lynch Law in the Southern States of America,,
Liverpool Mercury,05,05,1893,,,Lynch Law in America,,
Liverpool Mercury,17,03,1894,,,Lynch Law in the Southern States of America,,
Liverpool Mercury,19,03,1894,,,Miss Ida B. Wells,,
Liverpool Mercury,20,03,1894,,,Great George Street Chapel,,
Liverpool Mercury,21,03,1894,,,Liverpool Direct Veto League,,
Liverpool Mercury,03,04,1894,0005,014,Lynching in the United States,LYNCHING IN THE UNITED STATES.,title
Liverpool Mercury,10,05,1894,,,National British Women's Temperance Association,,
Liverpool Mercury,07,07,1894,,,Pembroke Chapel,,
Liverpool Mercury,26,01,1861,,,The Fugitive Slave John Anderson,,
Liverpool Mercury,07,09,1876,,,The Original of Mrs Stowe's Uncle Tom,,
Liverpool Mercury,06,03,1877,,,Uncle Tom at Windsor Palace,,
Liverpool Mercury,08,03,1877,,,Uncle Tom and the Queen,,
Liverpool Mercury,23,04,1877,0007,021,Uncle Tom,UNCLE TOM.,title
Liverpool Mercury,19,07,1833,,,American Slavery and Colonization in Africa,,
Liverpool Mercury,11,10,1853,0006,019,Position and Prospects of the Antislaver Cause in America,POSITION AND PROSPECTS OF THE ANTISLAVERY CAUSE IN AMERICA.,title
Liverpool Mercury,10,01,1860,0004,013,The Aristocracy of Colour,THE ARISTOCRACY OF COLOUR.,title
Liverpool Mercury,13,01,1854,,,The Anglo-Saxons and the Negro Races,,
Liverpool Mercury,02,09,1865,,,The Negro and the Suffrage,,
Liverpool Mercury,03,04,1847,,,Pro-Slavery Persecution in England,,
Liverpool Mercury,06,04,1847,,,Departure of Frederick Douglass,,
Liverpool Mercury,13,04,1847,,,Pro-Slavery Persecution in England,,
Liverpool Mercury,18,09,1846,,,The Antislavery Society and the Evangelical Alliance,,
Liverpool Mercury,23,11,1859,0003,008,A United States Refugee,A UNITED STATES REFUGEB.,title
Liverpool Mercury,26,02,1863,0003,006,Mr Frederick Douglass of the Emancipation Policy,MR. FREDERICK DOUGLASS ON THE EMANCIPATION POLICY.,title
Liverpool Mercury,16,08,1864,,,Frederick Douglass on the American War,,
Liverpool Mercury,02,09,1865,,,The Negro and the Suffrage,,
The Leeds Mercury,27,03,1847,,,A Soiree to Frederick Douglass ,,
The Leeds Mercury,15,01,1881,,,From Bondage to Power: The Marshal Who Was A Slave,,
The Leeds Mercury,14,01,1860,,,Antislavery Meeting in Wakefield,,
The Leeds Mercury,09,10,1862,0003,009,Mr F. Douglass and American Slavery,MR. F. DOUGLASS AND AMERICAN SLAVERY.,title
The Leeds Mercury,28,12,1863,,,The Great Anti-slavery Convention in Philadelphia,,
The Leeds Mercury,17,08,1864,0004,012,Frederick Douglass on the American War,"MR. W. S. LINDSAY, M.P., ON THE AMERICAN WAR.",title
The Leeds Mercury,02,02,1865,0004,015,Mr Frederick Douglass on the Prospects of Slavery,MR. FREDERICK DOUGLASS ON THE PROSPECT'S OF SLAVERY.,title
The Leeds Mercury,01,08,1865,,,Capacity of the Negro,,
The Leeds Mercury,06,08,1867,,,Frederick Douglass and His Brother,,
The Leeds Mercury,12,01,1850,,,The Anti-Slavery Movement,,
The Leeds Mercury,19,01,1850,0007,023,Slavery in America,SLAVERY IN AMERICA.,title
The Leeds Mercury,23,10,1856,,,American Slavery - Escape of William and Ellen Craft,,
The Leeds Mercury,07,06,1860,,,William and Ellen Craft,,
The Leeds Mercury,02,09,1863,0002,009,The British Association and the Negro,THE BRITISH ASSOCIATION AND THE NEGRO.,title
The Leeds Mercury,03,09,1863,0003,010,The British Association  ,THE BRITISH ASSOCIATION.,title
The Leeds Mercury,19,04,1851,,,American Slavery,,
The Leeds Mercury,16,08,1851,,,American Slavery,,
The Leeds Mercury,03,07,1894,,,Miss Ida B. Wells,,
The Leeds Mercury,04,07,1894,,,Miss Ida B. Wells,,
The Leeds Mercury,06,07,1894,,,The Horrors of Lynching,,
The Leeds Mercury,26,12,1894,,,Trouble in Georgia,,
The Leeds Mercury,10,01,1895,,,The Anti-Lynching Committee,,
The Leeds Mercury,05,08,1843,0007,025,Leeds Anti-Slavery Society,LEEDS ANTI-SLAVERY SOCIETY.,title
