newspaper,day,month,year,page,article,article title,ocr title,match (title/article text/manual)
Manchester Times,11,12,1858,0003,007,Manhood Suffrage Meeting,MANHOOD SUFFRAGE MEETING.,title
Reynolds's Newspaper,22,01,1860,,,Manhood Suffrage Meeting at Southwark,,
Reynolds's Newspaper,17,12,1865,,,Great Manhood Suffrage Meeting at St. Martin's Hall,,
The Leeds Mercury,31,08,1866,0003,012,The Manhood Suffrage Movement in Leeds,THE MANHOOD SUFFRAGE MOVEMENT IN LEEDS.,title
The Leeds Mercury,19,09,1866,0004,013,Manhood Suffrage Meeting at Holbeck,MANHOOD SUFFRAGE MEETING AT HOLBECK.,title
The Leeds Mercury,6,10,1866,0005,008,The West Riding Reform Movement,THE WEST RIDING REFORM DEMONSTRATION.,title
"Cheshire Observer and Chester, Birkenhead, Crewe and North Wales Times",10,11,1866,,,Reform Demonstration in Birkenhead,,
Glasgow Herald,12,05,1868,0002,003,Women's Suffrage - Public Meeting in Birmingham,WOMEN'S SUFFRAGE—PUBLIC MEETING IN BIRMINGHAM.,title
The Bradford Observer,14,10,1868,,,United Kingdom Alliance Meeting at Manchester,,
The Dundee Courier and Argus,18,01,1870,,,Women's Suffrage Meeting in Edinburgh,,
Freeman's Journal and Daily Commercial Advertiser,21,01,1870,,,Women Suffrage Meeting in Edinburgh,,
The Aberdeen Journal,26,01,1870,0006,026,Women's Suffrage Meeting in Edinburgh,WOMEN'S SUFFRAGE MEETING IN EDINBURGH.,title
The Bristol Mercury,5,02,1870,0008,028,Women's Suffrage Meeting at the Athenaem,WOMEN'S SUFFRAGE MEETING AT THE ATHENÆUM.,title
Glasgow Herald,12,05,1870,0004,009,Female Suffrage Meeting at Port-Glasgow,FEMALE SUFFRAGE MEETING AT PORT-GLASGOW.,title
The Bradford Observer,6,06,1871,,,Woman's Suffrage Meeting at Leeds,,
Glasgow Herald,22,04,1872,0005,014,National Society for Women Suffrage,NATIONAL SOCIETY FOR WOMEN SUFFRAGE.,title
The Dundee Courier and Argus,11,05,1872,,,Great Female Suffrage Meeting in London,,
Manchester Times,30,11,1872,0007,032,Women's Suffrage Meeting at Hulme,WOMEN'S SUFFRAGE MEETING AT HULME.,title
The Dundee Courier and Argus,13,01,1873,,,Women's Suffrage Meeting in Dundee,,
Northern Echo,17,01,1873,0003,009,Women's Suffrage - Public Meeting at Darlington,WOMEN'S SUFFRAGE. PUBLIC MEETING AT DARLINGTON.,title
Freeman's Journal and Daily Commercial Advertiser,18,01,1873,,,Women's Suffrage Meeting,,
The Belfast News-Letter,7,02,1873,0003,007,Women's Suffrage Meeting,WOMEN'S SUFFRAGE MEETING.,title
Liverpool Mercury,11,03,1873,0006,015,Women's Suffrage Meeting at Birkenhead,WOMEN'S SUFFRAGE MEETING AT BIRKENHEAD.,title
Leeds Mercury,17,03,1873,0004,014,Women's Suffrage Meeting at Bradford,WOMEN'S SUFFRAGE MEETING AT BRADFORD.,title
Liverpool Mercury,10,12,1873,0006,020,Women's Suffrage Meeting at Birkenhead,WOMEN'S SUFFRAGE MEETING AT BIRKENHEAD.,title
Berrow's Worcester Journal,17,01,1874,,,Women's Suffrage Meeting,,
Liverpool Mercury,29,01,1874,0007,023,Women's Suffrage Meeting at Holyhead,WOMEN'S SUFFRAGE MEETING AT HOLYHEAD.,title
The Huddersfield Daily Chronicle,26,02,1874,,,Women's Suffrage Meeting at Huddersfield,,
The Huddersfield Daily Chronicle and West Yorkshire Advertiser,28,02,1874,,,Women's Suffrage Meeting at Huddersfield,,
The York Herald ,28,02,1874,,,The Women's Suffrage Movement Meeting in York,,
"The Essex Standard, West Suffolk Gazette, and Eastern Counties' Advertiser",27,03,1874,,,Women's Suffrage Meeting at Colchester,,
The Daily Gazette,14,10,1874,,,Women's Suffrage Meeting at Middlesborough,,
Birmingham Daily Post,13,01,1875,0006,013,Women's Suffrage Meeting at Kidderminster,WOMEN'S SUFFRAGE MEETING AT KIDDERMINSTER.,title
Liverpool Mercury,9,03,1875,0006,014,Women's Suffrage Meeting at Birkenhead,WOMEN'S SUFFRAGE MEETING AT BIRKENHEAD.,title
The Leeds Mercury,25,11,1875,,,Women's Suffrage Meeting at Huddersfield,,
The York Herald,1,02,1876,,,Women's Suffrage Meeting at York,,
The York Herald,5,02,1876,,,Women's Suffrage Meeting in York,,
Birmingham Daily Post,23,02,1876,0008,028,Women's Suffrage Meeting at Stafford,WOMEN'S SUFFRAGE MEETING AT STAFFORD.,title
Glasgow Herald,15,05,1876,0005,017,Women's Suffrage Meeting in London,WOMEN'S SUFFRAGE MEETING IN LONDON.,title
The Isle of Man Times and General Advertiser,20,05,1876,,,Women's Suffrage Meeting,,
The Leeds Mercury,12,04,1877,0003,004,Women's Suffrage Meeting at Scarborough,WOMEN'S SUFFRAGE MEETING AT SCARBOROUGH.,title
The York Herald,14,04,1877,,,Women's Suffrage Meeting in Scarbro',,
The Daily Gazette,16,02,1878,,,Women's Suffrage Meeting at Stockton,,
The Leeds Mercury,28,08,1878,0008,031,Women's Suffrage Meeting at Harrogate,WOMEN'S SUFFRAGE MEETING AT HARROGATE.,title
The Hampshire Advertiser,27,11,1878,,,Women's Suffrage Meeting in Southampton,,
The Belfast News-Letter,12,02,1879,0008,021,Women's Suffrage Meeting,WOMEN'S SUFFRAGE MEETING.,title
Freeman's Journal and Daily Commercial Advertiser,15,02,1879,,,Women's Suffrage Meeting,,
The Sheffield and Rotherham Indepedent,24,01,1880,,,Women's Suffrage Meeting in Edinburgh,,
Daily News,4,02,1880,0003,020,Women's Suffrage Meeting at Manchester,WOMEN'S SUFFRAGE MEETING AT MANCHESTER.,title
The Belfast News-Letter,10,04,1880,0008,025,Women's Suffrage Meeting,WOMEN'S SUFFRAGE MEETING.,title
The Dundee Courier and Argus,13,10,1880,,,Woman's Suffrage Meeting in Edinburgh,,
The Bristol Mercury and Daily Post,22,10,1880,,,Women Suffrage Meeting at Lawrence Hill,,
The Bristol Mercury and Daily Post,3,11,1880,,,Women's Suffrage Meeting at the Broadmead Rooms,,
Birmingham Daily Post,9,12,1880,0005,009,Women's Suffrage: Annual Meeting in Manchester,WOMEN'S SUFFRAGE: ANNUAL MEETING IN MANCHESTER.,title
Birmingham Daily Post,14,02,1881,0007,020,Women's Suffrage Meeting,WOMEN'S SUFFRAGE MEETING.,title
Women's Suffrage Meeting at Cardiff,10,03,1881,,,Women's Suffrage Meeting at Cardiff,,
The Belfast News-Letter,17,03,1881,0003,006,Women's Suffrage Meeting,WOMEN'S SUFFRAGE MEETING.,title
"The Royal Cornwall Gazett Falmouth Packet, Cornish Weekly News, & General Advertiser",14,10,1881,,,Women's Suffrage Meeting at Penzance,,
The Sheffield and Rotherham Indepedent,21,02,1882,,,The Women's Suffrage Movement Meeting at Attercliffe,,
The Sheffield and Rotherham Indepedent,22,02,1882,,,Women's Suffrage Meeting at Rotherham,,
The Sheffield and Rotherham Indepedent,1,03,1882,,,Women's Suffrage Meeting in Sheffield,,
The Bristol Mercury and Daily Post,22,03,1882,,,Womens Suffrage Meeting at Taunton,,
Glasgow Herald,24,10,1882,0004,016,Women's Suffrage Meeting,WOMEN'S SUFFRAGE MEETING.,title
Birmingham Daily Post,27,01,1883,0005,011,Women's Suffrage Meeting in the Town Hall,WOMEN'S SUFFRAGE MEETING IN THE TOWN HALL.,title
The York Herald,5,04,1883,,,Women's Suffrage Meeting in York,,
The Belfast News-Letter,21,11,1883,0007,027,Women's Suffrage Meeting,WOMEN'S SUFFRAGE MEETING.,title
The Belfast News-Letter,29,11,1883,0008,029,Women's Suffrage Meeting in Lisburn,WOMEN'S SUFFRAGE MEETING IN LISBURN.,title
The Ipswich Journal,11,12,1883,0001,003,Women's Suffrage Meeting at Sudbury,WOMEN'S SUFFRAGE MEETING AT SUDBURY.,title
The Bristol Mercury and Daily Post,4,03,1884,,,Women Suffrage Meeting in St Philip's,,
The Bristol Mercury and Daily Post,7,03,1884,,,Women's Suffrage Meeting,,
The Belfast News-Letter,12,07,1884,0005,011,Female Suffrage Meeting  ,FEMALE SUFFRAGE MEETING.,title
The Bristol Mercury and Daily Post,6,02,1885,,,Women's Suffrage Meeting,,
The Bristol Mercury and Daily Post,13,02,1885,,,Women's Suffrage Meeting at Clifton,,
Aberdeen Weekly Journal,17,09,1885,,,Women's Suffrage Meeting in Aberdeen,,
Western Mail,11,12,1885,0003,018,Scene at at Women's Suffrage Meeting,SCENE AT A WOMEN'S SUFFRAGE MEETING.,title
The Huddersfield Daily Chronicle,11,12,1885,,,Women's Suffrage: Annual Meeting in Manchester,,
"The Essex Standard, West Suffolk Gazette, and Eastern Counties' Advertiser",17,04,1886,,,Women's Suffrage Meeting in Colchester,,
"The Essex Standard, West Suffolk Gazette, and Eastern Counties' Advertiser",27,04,1886,,,Women's Suffrage Meeting at Halstead,,
Berrow's Worcester Journal,23,04,1887,,,Women's Rights Meeting in Worcester,,
The Bristol Mercury and Daily Post,13,02,1888,,,Women's Suffrage Meeting,,
The York Herald,4,03,1889,,,A Woman Suffrage Meeting Broken up by Mice,,
"The Royal Cornwall Gazett Falmouth Packet, Cornish Weekly News, & General Advertiser",16,01,1890,,,Women's Suffrage,,
The Bristol Mercury and Daily Post,9,02,1891,,,Women's Suffrage,,
Liverpool Mercury,12,04,1892,0005,018,Women's Suffrage Meeting in Liverpool,WOMEN'S SUFFRAGE MEETING IN LIVERPOOL.,title
Aberdeen Weekly Journal,6,12,1893,,,Women's Suffrage Meeting in Aberdeen,,
Birmingham Daily Post,22,02,1894,0005,012,Woman Suffrage Meeting,WOMAN SUFFRAGE MEETING.,title
Nottinghamshire Guardian,17,03,1894,,,Women's Suffrage Meeting in Nottingham,,
The Bury and Norwich Post,31,10,1832,,,Church Reformation Society,,
The Sheffield and Rotherham Indepedent,13,07,1833,,,Rotherham Church Rate Meeting,,
The Manchester Times and Gazette,27,07,1833,,,High Church Convivial Meeting,,
The Sheffield and Rotherham Indepedent,24,08,1833,,,Rotherham Church Rate Meeting,,
The Leeds Mercury,26,10,1833,0008,022,Church Reform Meeting,CHURCH RATES AT THORNTON.,title
The Bradford Observer,10,04,1834,,,Vestry Meeting,,
The Bristol Mercury,7,06,1834,0003,008,High Church Meeting at Bristol,HIGH CHURCH MEETING AT BRISTOL.,title
The Morning Chronicle,15,07,1834,0001,002,Public Meeting at South Shields ,"PUBLIC MEETING AT SOUTH SHIELDS, RELATIVE TO THE CHURCH.",title
The Morning Chronicle,17,07,1834,0003,015,Church Rates - Meeting in South Hackney,CHURCH RATES.—MEETING IN SOUTH HACKNEY.,title
The Morning Chronicle,8,08,1834,0003,008,Hackney Church-Rate Meeting,HACKNEY CHURCH-RATE MEETING.,title
The Morning Post,1,09,1834,,,Meeting at Manchester,,
The York Herald and General Advertiser,13,09,1834,,,Church Rate Meeting at Wakefield,,
The Standard,27,11,1834,,,Great Protestant Meeting,,
The Morning Chronicle,28,11,1834,0004,008,Bristol High-Church Meeting,BRISTOL HIGH-CHURCH MEETING.,title
Caledonian Mercury,11,12,1834,0002,007,Church Rate Meeting at Birmingham,CHURCH RATE MEETING AT BIRMINGHAM.,title
The Bradford Observer,11,12,1834,,,Great Church-Rate Meeting at Birmingham,,
The Manchester Times and Gazette,13,12,1834,,,Church-Rate Meeting at Birmingham,,
The Leicester Chronicle,13,12,1834,,,Church-Rate Meeting - Birmingham,,
The Morning Post,29,01,1835,,,Church Meeting at Birmingham,,
The Aberdeen Journal,8,04,1835,0004,011,Public Meeting - Church Accommodation,PUBLIC MEETING—CHURCH ACCOMMODATION.,title
Caledonian Mercury,16,04,1835,0003,009,Public Meeting - Church Establishment,PUBLIC MEETING—CHURCH ESTABLISHMENT.,title
Caledonian Mercury,18,04,1835,0003,010,Public Meeting - Church Endowment,PUBLIC MEETING—CHURCH ENDOWMENT.,title
Caledonian Mercury,3,10,1835,0003,010,Protestant Meeting,PROTESTANT MEETING.,title
The Morning Post,6,10,1835,,,Edinburgh Protestant Meeting,,
The Standard,6,10,1835,,,Protestant Meeting,,
Caledonian Mercury,14,03,1836,0004,016,Church Patronage Meeting,CHURCH PATRONAGE MEETING.,title
The Aberdeen Journal,12,10,1836,0002,005,Public Meeting on Church Extension,PUBLIC MEETING ON CHURCH EXTENSION.,title
The Leicester Chronicle,29,10,1836,,,Public Meeting in Leicester,,
Brighton Patriot and South of England Free Press,29,11,1836,,,Vestry Meeting,,
The Morning Chronicle,22,12,1836,0003,009,Great Anti-Church Rate Meeting,GREAT ANTI-CHURCH-RATE MEETING.,title
The Manchester Times and Gazette,31,12,1836,,,Anti-Church Rate Meeting,,
The Newcastle Courant,31,12,1836,0003,008,Gateshead Church-Rate Meeting,GATESHEAD CHURCH-RATE MEETING.,title
The Morning Chronicle,31,12,1836,0004,016,Public Meeting,PUBLIC MEETING.—CHURCH-RATES.,title
Liverpool Mercury,13,01,1837,0008,020,Anti-Church Rate Meeting,ANTI-CHURCH-RATE MEETING.,title
Hampshire Telegraph and Sussex Chronicle,16,01,1837,,,Meeting Against Church-Rates at Portsmouth,,
The Hull Packet,27,01,1837,0002,008,The Anti-Church Rate Meeting,THE ANTI-CHURCH RATE MEETING.,title
The Leicester Chronicle,4,02,1837,,,"Church-Rate Meeting, Leicester",,
The Standard,10,02,1837,,,Another Anti-Church Rate Meeting,,
Brighton Patriot and South of England Free Press,21,02,1837,,,Church Rate Meeting,,
The Bradford Observer,23,03,1837,,,Church-Rate Meeting,,
"The Essex Standard, and Colchester, Chelmsford, Maldon, Harwich and General County Advertiser",31,03,1837,,,Chelmsford Church Rate Meeting,,
The Morning Chronicle,5,04,1837,0003,014,Church Rates Meeting,CHURCH-RATES MEETING.,title
The Standard,7,04,1837,,,The Great Church Meeting at Perth,,
The Bradford Observer,13,04,1837,,,Anti-Church Rate Meeting,,
Preston Chronicle,22,04,1837,0003,007,Church-Rate Meeting,CHURCH-RATE MEETING.,title
Liverpool Mercury,5,05,1837,0008,029,The Church Rate Meeting and The Tories,THE CHURCH RATE MEETING AND THE TORIES.,title
The Standard,23,05,1837,,,Great Church Meeting at Epsom,,
The Leeds Mercury,19,08,1837,0008,019,Church Rate Meeting at Leeds,CHURCH RATE MEETING AT LEEDS.,title
The Bradford Observer,24,08,1837,,,Church Rate Meeting at Leeds,,
The Sheffield and Rotherham Indepedent,2,09,1837,,,Church Rate Meeting at Rotherham,,
The Leicester Chronicle,9,09,1837,,,Established Church Anniversary Meeting Leicester,,
"The Essex Standard and Colchester, Chelmsford, Maldon, Harwich and General County Advertiser",6,10,1837,,,Essex County Meeting,,
The Leicester Chronicle,9,12,1837,,,Church Charities: Meetings of Trustees,,
Caledonian Mercury,12,03,1838,0004,014,Meeting Respecting the Church of Scotland,MEETING RESPECTING THE CHURCH OF SCOTLAND.,title
The London Dispatch,13,05,1838,0001,003,Church Rates,CHURCH RATES.—MEETING AT THE CITY OF LONDON TAVERN.,title
The Leicester Chronicle,8,09,1838,,,Church Charities: Meetings of Trustees,,
Berrow's Worcester Journal,4,10,1838,,,Anti-Church Rate Meeting at Birmingham,,
Caledonian Mercury,11,10,1838,0003,012,Church Extension Meeting,CHURCH EXTENSION MEETING.,title
The Aberdeen Journal,17,10,1838,0004,013,Great Church Extension Meeting,GREAT CHURCH EXTENSION MEETING.,title
The York Herald and General Advertiser,3,11,1838,,,Church Accommodation Meeting at Richmond,,
The Belfast News-Letter,21,12,1838,0002,004,Church Accommodation Meeting in Belfast,CHURCH ACCOMMODATION.—MEETING IN BELFAST.,title
The Belfast News-Letter,25,12,1838,0001,001,Church Extension Meeting,CHURCH EXTENSION MEETING.,title
Caledonian Mercury,5,01,1839,0003,013,Church Extension Meeting,CHURCH EXTENSION MEETING AT WEST CALDER.,title
Freeman's Journal and Daily Commercial Advertiser,15,01,1839,,,Metropolitan Church - Annual Meeting,,
Caledonian Mercury,31,01,1839,0003,010,Church Extension Meeting,CHURCH EXTENSION MEETING IN KIRKNEWTON.,title
The Essex Standard and General Advertiser for the Eastern Counties,15,02,1839,,,Anti Church Rate Meeting at Chelmsford,,
Freeman's Journal and Daily Commercial Advertiser,7,03,1839,,,Anti-Church Meeting,,
The Essex Standard and General Advertiser for the Eastern Counties,8,03,1839,,,Chelmsford Church Rate Meeting,,
Caledonian Mercury,20,06,1839,0003,007,Great Church Meeting  ,GREAT CHURCH MEETING.,title
The Aberdeen Journal,3,07,1839,0004,018,Second Church Extension Meeting,Third Church Extension Meeting.,title
North Wales Chronicle,9,07,1839,0002,005,Holywell Church Rate Meeting,HOLYWELL CHURCH RATE MEETING.,title
The Newcastle Courant,11,05,1849,0007,018,Meeting of Church Leaseholders,MEETING OF CHURCH LEASEHOLDERS.,title
The York Herald and General Advertiser,21,07,1849,,,The Late Church Rate Meeting in York,,
The Leicester Chronicle,25,08,1849,,,Church Rate Meeting,,
Manchester Times,3,11,1849,0006,019,Church-Rate Meeting at Littleborough,CHURCH-RATE MEETING AT LITTLEBOROUGH.,title
Daily News,5,11,1849,0003,008,Church Rate Meeting at Rochdale,CHURCH RATE MEETING AT ROCHDALE.,title
Manchester Times,13,02,1850,0006,022,Anti-State Church Meeting at Rochdale,ALL SAINTS' CHURCH.—MEETING AT THE TOWN HALL.,title
Daily News,10,04,1850,0006,021,Great Anti-State Church Meeting at Nottingham,GREAT ANTI-STATE CHURCH MEETING AT NOTTINGHAM.,title
The Sheffield and Rotherham Indepedent,25,05,1850,,,Church-Rate Meeting at Rotherham,,
The Standard,20,08,1850,,,The Great Church Meeting  ,,
The Ipswich Journal,24,08,1850,0001,005,The Great Church Meeting,THE GREAT CHURCH MEETING.,title
The York Herald and General Advertiser,14,09,1850,,,The Church-Rate Meeting at St Olave's York,,
The Sheffield and Rotherham Indepedent,21,09,1850,,,Anti-Church Rate Meeting at Rotherham,,
Caledonian Mercury,14,11,1850,0003,011,Anti-State Church Meeting  ,ANTI-STATE CHURCH MEETING.,title
The Preston Guardian,23,11,1850,,,"Anti-State Church Meeting, at Blackburn",,
The Bury and Norwich Post,27,11,1850,,,The Anti-State Church Meeting,,
Glasgow Herald,6,12,1850,0001,004,Anti-State Church Meeting,ANTI-STATE CHURCH MEETING.,title
The Morning Post,10,12,1850,,,Glasgow Anti-State Church Meeting,,
Daily News,20,02,1851,0003,009,Church Rates - Meeting in Clerkenwell,CHURCH RATES.—MEETING IN CLERKENWELL.,title
The Lancaster Gazette,12,04,1851,,,Church Missionary Meeting,,
Manchester Times,13,12,1851,,,Private Meeting of the Local Educationists,,
Caledonian Mercury,29,01,1852,0003,008,Anti-State Church Meeting,ANTI-STATE-CHURCH MEETING.,title
The Preston Guardian,7,02,1852,,,Anti-State Church Meeting at Blackburn,,
The York Herald and General Advertiser,7,02,1852,,,Church Rate Meeting,,
The Preston Guardian,10,02,1852,,,Anti-State Church Meeting,,
Berrow's Worcester Journal,15,04,1852,,,Anti-State Church Association Meeting,,
Manchester Times,24,12,1858,0006,027,Church-Rate Meeting at Bowdon,CHURCH-RATE MEETING AT BOWDON.,title
The Bradford Observer,3,02,1859,,,Church Rate Meeting at Great Horton,,
The Belfast News-Letter,19,04,1859,0003,013,Church Missionary Society,CHURCH MISSIONARY SOCIETY.,title
Birmingham Daily Post,12,10,1859,0001,006,Important Church Rate Meeting in Shrewsbury,IMPORTANT CHURCH RATE MEETING IN SHREWSBURY.,title
The Sheffield and Rotherham Indepedent,10,12,1859,,,A Pro-Church Rate Meeting,,
The Derby Mercury,9,05,1860,0005,018,Church-Rate Meeting for St. Peter's,CHURCH-RATE MEETING FOR ST. PETER'S.,title
Preston Chronicle,30,03,1833,0002,005,Anniversary of the Preston Temperance Society,ANNIVERSAY OF THE PRESTON TEMPERANCE SOCIETY.,title
The Bristol Mercury,1,03,1834,0002,007,Temperance Meeting,TEMPERANCE MEETING.,title
The Bristol Mercury,19,04,1834,0004,016,The Temperance Meeting,THE TEMPERANCE MEETING.,title
The Sheffield Independent and Yorkshire and Derbyshire Advertiser,13,09,1834,,,Sheffield Temperance Society,,
The York Herald and General Advertiser,20,09,1834,,,Meeting of the British Association at Edinburgh,,
Liverpool Mercury,17,10,1834,0008,025,Temperance Meeting,TEMPERANCE MEETING.,title
The Sheffield Independent and Yorkshire and Derbyshire Advertiser,1,11,1834,,,Temperance Meeting,,
The Leicester Chronicle,17,01,1835,,,The Mechanics' Institute,,
The Sheffield Independent and Yorkshire and Derbyshire Advertiser,7,03,1835,,,Temperance Meeting,,
"The Essex Standard, and Colchester, Chelmsford, Maldon, Harwich and General County Advertiser",20,11,1835,,,Chelmsford Temperance Society,,
The York Herald and General Advertiser,30,01,1836,,,Temperance Meeting at Whitby,,
The Belfast News-Letter,29,03,1836,0001,004,Temperance Convention and Soiree,TEMPERANCE CONVENTION AND SOIREE.,title
The Sheffield Independent and Yorkshire and Derbyshire Advertiser,16,07,1836,,,Temperance Meeting,,
Liverpool Mercury,28,07,1837,0003,006,Temperance Meeting,TEMPERANCE MEETING.,title
Preston Chronicle,2,12,1837,0004,013,Most Interesting Temperance Meeting in Manchester,MOST INTERESTING TEMPERANCE MEETING IN MANCHESTER.,title
Berrow's Worcester Journal,18,01,1838,,,Temperance Meeting at Tewkesbury,,
The Belfast News-Letter,19,01,1838,0001,003,Great Tee-Total Temperance Meeting,GREAT TEE-TOTAL TEMPERANCE MEETING.,title
The York Herald and General Advertiser,27,01,1838,,,Public Meeting at Richmond,,
The Sheffield Independent and Yorkshire and Derbyshire Advertiser,14,07,1838,,,Temperance,,
Brighton Patriot and South of England Free Press,16,10,1838,,,Temperance Meeting,,
The Bradford Observer,21,02,1839,,,Temperance Festival,,
The Newcastle Courant,5,04,1839,0004,010,Public Temperance Meeting,PUBLIC TEMPERANCE MEETING.,title
The Morning Chronicle,12,09,1839,0004,016,Great Temperance Meeting,GREAT TEMPERANCE MEETING.— EARL STANHOPE and LORD BROUGHAM.,title
Preston Chronicle,25,04,1840,0004,016,Annual Temperance Meeting in London,ANNUAL TEMPERANCE MEETING IN LONDON.,title
The Leeds Mercury,13,06,1840,0006,018,Great Temperance Meeting at Leeds,GREAT TEMPERANCE MEETING AT LEEDS.,title
Freeman's Journal and Daily Commercial Advertiser,25,06,1840,,,Grand Temperance Meeting at Donnybrook,,
The York Herald and General Advertiser,3,10,1840,,,Temperance Meeting and the Party,,
Freeman's Journal and Daily Commercial Advertiser,5,12,1840,,,Temperance Movement in Cavan,,
The Hull Packet,4,12,1840,0003,008,The Chartists at Norwich,THE CHARTISTS AT NORWICH.,title
Freeman's Journal and Daily Commercial Advertiser,31,12,1840,,,Great Temperance Festival,,
Freeman's Journal and Daily Commercial Advertiser,1,01,1841,,,The Temperance Movement,,
Freeman's Journal and Daily Commercial Advertiser,5,01,1841,,,Temperance Meeting in Cork,,
"The Bury and Norwich Post, and East Anglian",31,03,1841,,,Thetford Temperance Meeting,,
"The Bury and Norwich Post, and East Anglian",7,04,1841,,,Thetford Temperance Meeting,,
The Sheffield and Rotherham Indepedent,21,08,1841,,,Temperance Demonstration,,
Freeman's Journal and Daily Commercial Advertiser,15,03,1842,,,Temperance Meeting,,
Freeman's Journal and Daily Commercial Advertiser,3,11,1842,,,Great Temperance Festival at Kells,,
Freeman's Journal and Daily Commercial Advertiser,19,08,1842,,,Temperance Meeting,,
The York Herald and General Advertiser,8,07,1843,,,Great Northern Temperance Demonstration,,
The Standard,1,09,1843,,,The Temperance Movement,,
The York Herald and General Advertiser,16,09,1843,,,Great Temperance Meeting at Norwich,,
The Leeds Mercury,30,09,1843,0008,031,Temperance Meetings on the Sabbath,TEMPERANCE MEETINGS ON THE SABBATH.,title
